78,1001,5,11
73,1002,5,11
73,1003,5,11
86,1004,5,11
84,1005,5,11
83,1006,5,11
74,1007,5,11
95,1008,5,11
97,1009,5,11
90,1010,5,11
88,1011,5,11
92,1012,5,11
86,1013,5,11
74,1014,5,11
77,1015,5,11
75,1016,5,11
83,1017,5,11
86,1018,5,11
64,1019,5,11
82,1020,5,11
91,1021,5,11
81,1022,5,11
76,1023,5,11
95,1024,5,11
91,1025,5,11
82,1026,5,11
86,1027,5,11
88,1028,5,11
86,1029,5,11
42,1030,5,11
91,1031,5,11
84,1032,5,11
87,1033,5,11
79,1034,5,11
73,1035,5,11
95,1036,5,11
74,1037,5,11
87,1038,5,11
86,1039,5,11
82,1040,5,11
95,1041,5,11
89,1042,5,11
90,1043,5,11
81,1044,5,11
85,1045,5,11
85,1046,5,11
84,1047,5,11
83,1048,5,11
96,1049,5,11
86,1050,5,11
81,1051,5,11
89,1052,5,11
76,1053,5,11
84,1054,5,11
82,1055,5,11
67,1056,5,11
89,1057,5,11
91,1058,5,11
82,1059,5,11
81,1060,5,11
82,1061,5,11
76,1062,5,11
71,1063,5,11
62,1064,5,11
75,1065,5,11
51,1066,5,11
82,1067,5,11
63,1068,5,11
79,1069,5,11
80,1070,5,11
75,1071,5,11
74,1072,5,11
85,1073,5,11
72,1074,5,11
58,1075,5,11
93,1076,5,11
79,1077,5,11
77,1078,5,11
78,1079,5,11
87,1080,5,11
59,1081,5,11
83,1082,5,11
71,1083,5,11
86,1084,5,11
70,1085,5,11
79,1086,5,11
