13489,76,2001,8,27
13492,-2,2002,8,27
13494,80,2003,8,27
13500,72,2004,8,27
13506,-2,2005,8,27
13524,-2,2006,8,27
13527,-2,2007,8,27
13536,73,2008,8,27
13548,71,2009,8,27
13551,66,2010,8,27
13553,78,2011,8,27
13555,76,2012,8,27
13557,81,2013,8,27
13559,-2,2014,8,27
13565,-2,2015,8,27
13568,66,2016,8,27
13569,-2,2017,8,27
13572,78,2018,8,27
13580,-2,2019,8,27
13583,74,2020,8,27
13584,80,2021,8,27
13586,-2,2022,8,27
13588,81,2023,8,27
13592,-2,2024,8,27
13595,-2,2025,8,27
13596,-2,2026,8,27
13601,-2,2027,8,27
13614,72,2028,8,27
13617,-2,2029,8,27
13618,-2,2030,8,27
13619,-2,2031,8,27
13620,-2,2032,8,27
13627,86,2033,8,27
13629,-2,2034,8,27
13632,79,2035,8,27
13633,-2,2036,8,27
13637,-2,2037,8,27
13646,-2,2038,8,27
13648,-2,2039,8,27
13654,75,2040,8,27
13667,84,2041,8,27
13669,-2,2042,8,27
13670,82,2043,8,27
13677,72,2044,8,27
13680,69,2045,8,27
13681,-2,2046,8,27
13685,-2,2047,8,27
13685,-2,2048,8,27
13691,-2,2049,8,27
13695,-2,2050,8,27
13696,81,2051,8,27
13708,-2,2052,8,27
13714,-2,2053,8,27
13719,64,2054,8,27
13726,-2,2055,8,27
13729,72,2056,8,27
13734,-2,2057,8,27
13747,-2,2058,8,27
13749,-2,2059,8,27
13750,-2,2060,8,27
13752,-2,2061,8,27
13753,-2,2062,8,27
13767,74,2063,8,27
13768,65,2064,8,27
13769,79,2065,8,27
13775,-2,2066,8,27
13791,-2,2067,8,27
13793,70,2068,8,27
13794,-2,2069,8,27
13795,-2,2070,8,27
13796,-2,2071,8,27
13797,67,2072,8,27
13798,-2,2073,8,27
13806,-2,2074,8,27
13815,-2,2075,8,27
13820,-2,2076,8,27
13821,-2,2077,8,27
13824,-2,2078,8,27
13826,83,2079,8,27
13828,83,2080,8,27
