13489,83,2001,6,27
13492,82,2002,6,27
13494,-2,2003,6,27
13500,-2,2004,6,27
13506,-2,2005,6,27
13524,93,2006,6,27
13527,82,2007,6,27
13536,-2,2008,6,27
13548,-2,2009,6,27
13551,-2,2010,6,27
13553,-2,2011,6,27
13555,78,2012,6,27
13557,-2,2013,6,27
13559,62,2014,6,27
13565,-2,2015,6,27
13568,-2,2016,6,27
13569,84,2017,6,27
13572,-2,2018,6,27
13580,-2,2019,6,27
13583,71,2020,6,27
13584,-2,2021,6,27
13586,-2,2022,6,27
13588,-2,2023,6,27
13592,91,2024,6,27
13595,-2,2025,6,27
13596,-2,2026,6,27
13601,-2,2027,6,27
13614,90,2028,6,27
13617,87,2029,6,27
13618,81,2030,6,27
13619,-2,2031,6,27
13620,-2,2032,6,27
13627,-2,2033,6,27
13629,-2,2034,6,27
13632,-2,2035,6,27
13633,75,2036,6,27
13637,87,2037,6,27
13646,86,2038,6,27
13648,72,2039,6,27
13654,86,2040,6,27
13667,-2,2041,6,27
13669,-2,2042,6,27
13670,85,2043,6,27
13677,-2,2044,6,27
13680,87,2045,6,27
13681,-2,2046,6,27
13685,-2,2047,6,27
13685,-2,2048,6,27
13691,86,2049,6,27
13695,-2,2050,6,27
13696,-2,2051,6,27
13708,87,2052,6,27
13714,-2,2053,6,27
13719,63,2054,6,27
13726,86,2055,6,27
13729,-2,2056,6,27
13734,-2,2057,6,27
13747,81,2058,6,27
13749,-2,2059,6,27
13750,82,2060,6,27
13752,52,2061,6,27
13753,-2,2062,6,27
13767,-2,2063,6,27
13768,78,2064,6,27
13769,-2,2065,6,27
13775,79,2066,6,27
13791,-2,2067,6,27
13793,-2,2068,6,27
13794,87,2069,6,27
13795,-2,2070,6,27
13796,-2,2071,6,27
13797,-2,2072,6,27
13798,-2,2073,6,27
13806,78,2074,6,27
13815,-2,2075,6,27
13820,-2,2076,6,27
13821,78,2077,6,27
13824,-2,2078,6,27
13826,-2,2079,6,27
13828,-2,2080,6,27
